"cumulative_cell_count","rep_num","cell_line","treatment","day"
1405851.09489051,3,"ZSGreen","AAVS1",2
1242528.70662461,3,"ZSGreen","PSMD1",2
715255.172413793,3,"ZSGreen","CFLAR D1",2
2759641.89087901,3,"ZSGreen","AAVS1",4
519287.178016799,3,"ZSGreen","PSMD1",4
164241.722783915,3,"ZSGreen","CFLAR D1",4
4533511.06804553,3,"ZSGreen","AAVS1",6
165473.099585207,3,"ZSGreen","PSMD1",6
195413.940677293,3,"ZSGreen","CFLAR D1",6
623453.04518664,4,"ZSGreen","AAVS1",2
556964.102564103,4,"ZSGreen","PSMD1",2
310060.335195531,4,"ZSGreen","CFLAR D1",2
1550227.54228334,4,"ZSGreen","AAVS1",4
442837.715903728,4,"ZSGreen","PSMD1",4
227986.559921498,4,"ZSGreen","CFLAR D1",4
2121809.43194677,4,"ZSGreen","AAVS1",6
247790.476853964,4,"ZSGreen","PSMD1",6
87403.0192520936,4,"ZSGreen","CFLAR D1",6
4738853.20484905,4,"ZSGreen","AAVS1",8
235174.696185116,4,"ZSGreen","PSMD1",8
17372.7390829556,4,"ZSGreen","CFLAR D1",8
323524.977127173,5,"ZSGreen","AAVS1",2
420088.48758465,5,"ZSGreen","PSMD1",2
312752.676056338,5,"ZSGreen","CFLAR D1",2
1409659.5327712,5,"ZSGreen","AAVS1",4
410721.408116805,5,"ZSGreen","PSMD1",4
159026.11660641,5,"ZSGreen","CFLAR D1",4
2849236.91096692,5,"ZSGreen","AAVS1",6
251073.160110084,5,"ZSGreen","PSMD1",6
71084.8274126954,5,"ZSGreen","CFLAR D1",6
6433471.59502709,5,"ZSGreen","AAVS1",8
27915.3269026464,5,"ZSGreen","PSMD1",8
22068.2493303349,5,"ZSGreen","CFLAR D1",8
1204454.17867435,6,"ZSGreen","AAVS1",2
1130819.04761905,6,"ZSGreen","PSMD1",2
1130819.04761905,6,"ZSGreen","CFLAR D1",2
3027910.3992237,6,"ZSGreen","AAVS1",4
782699.560356327,6,"ZSGreen","PSMD1",4
314689.414457588,6,"ZSGreen","CFLAR D1",4
6036114.92636317,6,"ZSGreen","AAVS1",6
334482.649959839,6,"ZSGreen","PSMD1",6
141160.680199546,6,"ZSGreen","CFLAR D1",6
12008468.3287352,6,"ZSGreen","AAVS1",8
27605.9742758959,6,"ZSGreen","PSMD1",8
53657.9349302549,6,"ZSGreen","CFLAR D1",8
944322.935779817,1,"VFLIP","AAVS1",2
1097445.98930481,1,"VFLIP","PSMD1",2
963490.909090909,1,"VFLIP","CFLAR D1",2
3370993.11945404,1,"VFLIP","AAVS1",4
678240.335451093,1,"VFLIP","PSMD1",4
1747410.78895439,1,"VFLIP","CFLAR D1",4
9072427.26770379,1,"VFLIP","AAVS1",6
503187.175991699,1,"VFLIP","PSMD1",6
3736291.30513398,1,"VFLIP","CFLAR D1",6
1630433.57,2,"VFLIP","AAVS1",2
1481651.78,2,"VFLIP","PSMD1",2
2212714.15,2,"VFLIP","CFLAR D1",2
1617182.69294339,2,"VFLIP","AAVS1",4
392836.96410221,2,"VFLIP","PSMD1",4
982743.713488226,2,"VFLIP","CFLAR D1",4
3437126.25602795,2,"VFLIP","AAVS1",6
92083.3158651675,2,"VFLIP","PSMD1",6
1347886.40730913,2,"VFLIP","CFLAR D1",6
1339600,3,"VFLIP","AAVS1",2
1486889.79591837,3,"VFLIP","PSMD1",2
1384777.14285714,3,"VFLIP","CFLAR D1",2
2840021.14064516,3,"VFLIP","AAVS1",4
628312.420131652,3,"VFLIP","PSMD1",4
1643828.38210678,3,"VFLIP","CFLAR D1",4
6860664.88783052,3,"VFLIP","AAVS1",6
298906.047437413,3,"VFLIP","PSMD1",6
3554704.03011974,3,"VFLIP","CFLAR D1",6
749331.225296443,4,"VFLIP","AAVS1",2
821394.285714286,4,"VFLIP","PSMD1",2
698060.8,4,"VFLIP","CFLAR D1",2
2205852.8477247,4,"VFLIP","AAVS1",4
873379.23953367,4,"VFLIP","PSMD1",4
1424389.65167948,4,"VFLIP","CFLAR D1",4
5098022.45557296,4,"VFLIP","AAVS1",6
1779341.10321346,4,"VFLIP","PSMD1",6
3161619.26331652,4,"VFLIP","CFLAR D1",6
17850497.9387326,4,"VFLIP","AAVS1",8
75156.6792308911,4,"VFLIP","PSMD1",8
8618701.08446202,4,"VFLIP","CFLAR D1",8
71680149.0793323,4,"VFLIP","AAVS1",10
134762.000232305,4,"VFLIP","PSMD1",10
19278538.5183153,4,"VFLIP","CFLAR D1",10
703190.427350428,5,"VFLIP","AAVS1",2
689645.86846543,5,"VFLIP","PSMD1",2
615013.418530351,5,"VFLIP","CFLAR D1",2
1709315.29080342,5,"VFLIP","AAVS1",4
612771.658981018,5,"VFLIP","PSMD1",4
933351.293690321,5,"VFLIP","CFLAR D1",4
4373327.46279968,5,"VFLIP","AAVS1",6
854887.549360273,5,"VFLIP","PSMD1",6
1561374.36492339,5,"VFLIP","CFLAR D1",6
12218847.6180118,5,"VFLIP","AAVS1",8
94913.7132845124,5,"VFLIP","PSMD1",8
3933164.48021661,5,"VFLIP","CFLAR D1",8
34907923.465488,5,"VFLIP","AAVS1",10
118584.006096944,5,"VFLIP","PSMD1",10
9378253.67577193,5,"VFLIP","CFLAR D1",10
1204454.17867435,6,"VFLIP","AAVS1",2
1250676.36363636,6,"VFLIP","PSMD1",2
1130819.04761905,6,"VFLIP","CFLAR D1",2
3263349.68603682,6,"VFLIP","AAVS1",4
1029506.17151751,6,"VFLIP","PSMD1",4
1828854.89951617,6,"VFLIP","CFLAR D1",4
8773445.48414104,6,"VFLIP","AAVS1",6
1514198.18613166,6,"VFLIP","PSMD1",6
3085016.95049813,6,"VFLIP","CFLAR D1",6
24696291.1053345,6,"VFLIP","AAVS1",8
110356.364651753,6,"VFLIP","PSMD1",8
6077056.7965455,6,"VFLIP","CFLAR D1",8
94195511.6012137,6,"VFLIP","AAVS1",10
38710.4821443767,6,"VFLIP","PSMD1",10
18763239.7129866,6,"VFLIP","CFLAR D1",10
